0.000000 0.000000 415429 -1	2199 1 1.000000  46.343280 -50.318360 0  -0.000358 -0.000105 0  0.977678 0 0.599311  3.699726e-10
0.000000 0.000000 413231 -1	1 1 1.000000  10.399878 6.586918 0  0.000000 0.000000 0  0.343310 0 0.397142  0.000000e+00
0.000000 0.000000 413232 -1	2 1 1.000000  -1.063826 24.736089 0  0.000000 0.000000 0  1.541861 0 0.516998  0.000000e+00
0.000000 0.000000 413233 -1	3 1 1.000000  -40.480593 44.275437 0  0.009286 -0.975944 0  2.344505 0 0.469937  6.789059e-07
0.000000 0.000000 413234 -1	4 1 1.000000  25.240366 -46.023188 0  0.000000 0.000000 0  2.123724 0 0.471116  0.000000e+00
0.000000 0.000000 413235 -1	5 1 1.000000  -46.433699 -18.912303 0  0.000000 0.000000 0  2.800604 0 0.471992  0.000000e+00
0.000000 0.000000 413236 -1	6 1 1.000000  -27.968192 28.074129 0  0.000000 0.000000 0  1.084111 0 0.506593  0.000000e+00
0.000000 0.000000 413237 -1	7 1 1.000000  31.692630 13.935559 0  0.000000 0.000000 0  0.943346 0 0.541760  0.000000e+00
0.000000 0.000000 413238 -1	8 1 1.000000  -3.555878 45.995622 0  -2.744209 0.595357 0  0.662948 0 0.579868  2.616183e-06
0.000000 0.000000 413239 -1	9 1 1.000000  -10.754186 0.751146 0  0.000000 0.000000 0  2.059635 0 0.437866  0.000000e+00
0.000000 0.000000 413240 -1	10 1 1.000000  2.187178 -13.805004 0  0.192034 0.395087 0  0.258638 0 0.617018  4.786556e-07
0.000000 0.000000 413241 -1	11 1 1.000000  -25.163224 44.478849 0  0.000000 0.000000 0  1.169812 0 0.581243  0.000000e+00
0.000000 0.000000 413242 -1	12 1 1.000000  -33.216114 -53.271146 0  0.000000 0.000000 0  2.346032 0 0.388069  0.000000e+00
0.000000 0.000000 413243 -1	13 1 1.000000  29.383987 -19.242189 0  0.006033 -0.002965 0  0.201992 0 0.426548  5.865357e-09
0.000000 0.000000 413244 -1	14 1 1.000000  15.158144 31.545441 0  0.000000 0.000000 0  3.099974 0 0.472440  0.000000e+00
0.000000 0.000000 413245 -1	15 1 1.000000  -36.277828 -21.121869 0  1.979694 -0.981616 0  2.492415 0 0.550175  2.244428e-06
0.000000 0.000000 413246 -1	16 1 1.000000  7.580042 -29.397697 0  0.000000 0.000000 0  1.388637 0 0.472032  0.000000e+00
0.000000 0.000000 413247 -1	17 1 1.000000  20.812430 4.474321 0  0.000000 0.000000 0  1.967970 0 0.535024  0.000000e+00
