24.9
       0.293,        1.079,        0.277,        1.081,        0.282,        1.085,        0.638,        1.073,        1.156,        1.079,        1.211,        1.041
       0.278,        1.089,        0.261,        1.064,        0.267,        1.082,        0.278,        1.038,        1.145,        0.992,        1.212,        0.976
       0.284,        1.068,        0.236,        1.048,        0.239,        1.042,        0.727,          1  ,        1.145,        0.963,        1.196,        0.981
       0.283,        1.061,        0.269,        1.065,        0.27 ,        1.051,        0.766,        1.034,        1.16 ,        0.999,        1.222,          1  
       0.281,        1.007,        0.231,        0.989,        0.232,        0.977,        0.234,        0.959,        1.113,        0.954,        1.169,        0.979
       0.284,        1.035,        0.261,        0.998,        0.247,        0.999,        0.275,        0.968,        1.145,        0.971,        1.2  ,        1.104
       0.292,        1.018,        0.246,        0.999,        0.235,        0.968,        0.325,        0.972,        1.124,        0.951,        1.18 ,        1.052
       0.291,        1.036,        0.273,        1.045,        0.272,        1.022,        0.281,        1.027,        1.173,        1.024,        1.205,        1.004

