24.9
       0.278,        1.43 ,        0.648,        1.366,        0.924,        1.318,        1.071,        1.278,        1.308,        1.258,        1.374,        1.231
       0.283,        1.324,        0.265,        1.345,        0.931,        1.275,        0.858,        1.222,        1.272,        1.155,        1.318,        1.202
       0.29 ,        1.358,        0.242,        1.334,        0.24 ,        1.271,        1.004,        1.194,        1.284,        1.138,        1.323,        1.216
       0.302,        1.38 ,        0.265,        1.358,        0.28 ,        1.309,        0.984,        1.234,        1.28 ,        1.203,        1.341,        1.243
       0.285,        1.365,        0.239,        1.312,        0.229,        1.263,        0.235,        1.205,        1.252,        1.189,        1.35 ,        1.231
       0.293,        1.392,        0.27 ,        1.344,        0.255,        1.3  ,        0.417,        1.219,        1.288,        1.205,        1.364,        1.336
       0.293,        1.383,        0.266,        1.372,        0.249,        1.329,        0.957,        1.229,        1.308,        1.205,        1.349,        1.339
       0.288,        1.443,        0.285,        1.449,        0.278,        1.397,        1.22 ,        1.321,        1.377,        1.288,        1.418,        1.274

