24.9
       0.272,        0.878,        0.264,        0.862,        0.274,        0.873,        0.268,        0.885,        0.783,        0.855,        0.851,        0.844
       0.27 ,        0.88 ,        0.262,        0.874,        0.272,        0.888,        0.284,        0.879,        0.802,        0.86 ,        0.852,        0.823
       0.263,        0.868,        0.233,        0.864,        0.241,        0.856,        0.241,        0.856,        0.782,        0.827,        0.82 ,        0.821
       0.267,        0.882,        0.277,        0.888,        0.277,        0.886,        0.303,        0.889,        0.806,        0.871,        0.853,        0.832
       0.279,        0.751,        0.231,        0.745,        0.214,        0.735,        0.238,        0.757,        0.72 ,        0.743,        0.802,        0.745
       0.272,        0.779,        0.265,        0.757,        0.25 ,        0.771,        0.278,        0.766,        0.754,        0.77 ,        0.82 ,        0.779
       0.273,        0.76 ,        0.254,        0.766,        0.233,        0.739,        0.23 ,        0.757,        0.728,        0.737,        0.794,        0.745
       0.284,        0.753,        0.27 ,        0.757,        0.262,        0.761,        0.266,        0.769,        0.746,        0.753,        0.802,        0.748

