stage_position,position_within_field_of_view,sine_amplitude,sine_period,problems
0,0,10,100,0
0,1,10,100,0
0,2,10,100,0
1,0,10,50,0
1,1,10,100,0
1,2,10,100,0
2,0,10,50,0
2,1,10,50,0
2,2,10,50,0
3,0,10,20,0
3,1,10,20,0
3,2,10,50,0
4,0,10,20,0
4,1,10,20,0
4,2,10,20,0
5,0,10,10,0
5,1,10,10,0
5,2,10,10,0
6,0,10,0,0
6,1,10,10,0
6,2,10,10,0
7,0,10,0,0
7,1,10,0,0
7,2,10,0,0
8,0,10,0,0
8,1,10,0,0
8,2,10,0,0
9,0,10,0,0
9,1,10,0,0
9,2,10,0,0
10,0,10,100,0
10,1,10,100,0
10,2,10,100,0
11,0,10,50,0
11,1,10,100,0
11,2,10,100,0
12,0,10,50,0
12,1,10,50,0
12,2,10,50,0
13,0,10,20,0
13,1,10,20,0
13,2,10,50,0
14,0,10,20,0
14,1,10,20,0
14,2,10,20,0
15,0,10,10,0
15,1,10,10,0
15,2,10,10,0
16,0,10,0,0
16,1,10,10,0
16,2,10,10,0
17,0,10,0,0
17,1,10,0,0
17,2,10,0,0
18,0,10,0,0
18,1,10,0,0
18,2,10,0,0
19,0,10,0,0
19,1,10,0,0
19,2,10,0,0
20,0,10,100,0
20,1,10,100,0
20,2,10,100,0
21,0,10,50,0
21,1,10,100,0
21,2,10,100,0
22,0,10,50,0
22,1,10,50,0
22,2,10,50,0
23,0,10,20,0
23,1,10,20,0
23,2,10,50,0
24,0,10,20,0
24,1,10,20,0
24,2,10,20,0
25,0,10,10,0
25,1,10,10,0
25,2,10,10,0
26,0,10,0,0
26,1,10,10,0
26,2,10,10,0
27,0,10,0,0
27,1,10,0,0
27,2,10,0,0
28,0,10,0,0
28,1,10,0,0
28,2,10,0,0
29,0,10,0,0
29,1,10,0,0
29,2,10,0,0
30,0,10,100,0
30,1,10,100,0
30,2,10,100,0
31,0,10,50,0
31,1,10,100,0
31,2,10,100,0
32,0,10,50,0
32,1,10,50,0
32,2,10,50,0
33,0,10,20,0
33,1,10,20,0
33,2,10,50,0
34,0,10,20,0
34,1,10,20,0
34,2,10,20,0
35,0,10,10,0
35,1,10,10,0
35,2,10,10,0
36,0,10,0,0
36,1,10,10,0
36,2,10,10,0
37,0,10,0,0
37,1,10,0,0
37,2,10,0,0
38,0,10,0,0
38,1,10,0,0
38,2,10,0,0
39,0,10,0,0
39,1,10,0,0
39,2,10,0,0
40,0,20,0,0
40,1,20,0,0
40,2,20,0,0
41,0,20,0,0
41,1,20,0,0
41,2,20,0,0
42,0,20,0,0
42,1,20,0,0
42,2,20,0,0
43,0,20,0,0
43,1,20,10,0
43,2,20,10,0
44,0,20,10,0
44,1,20,10,0
44,2,20,10,0
45,0,20,20,0
45,1,20,20,0
45,2,20,20,0
46,0,20,20,0
46,1,20,20,0
46,2,20,50,0
47,0,20,50,0
47,1,20,50,0
47,2,20,50,0
48,0,20,50,0
48,1,20,100,0
48,2,20,100,0
49,0,20,100,0
49,1,20,100,0
49,2,20,100,0
50,0,20,0,0
50,1,20,0,0
50,2,20,0,0
51,0,20,0,0
51,1,20,0,0
51,2,20,0,0
52,0,20,0,0
52,1,20,0,0
52,2,20,0,0
53,0,20,0,0
53,1,20,10,0
53,2,20,10,0
54,0,20,10,0
54,1,20,10,0
54,2,20,10,0
55,0,20,20,0
55,1,20,20,0
55,2,20,20,0
56,0,20,20,0
56,1,20,20,0
56,2,20,50,0
57,0,20,50,0
57,1,20,50,0
57,2,20,50,0
58,0,20,50,0
58,1,20,100,0
58,2,20,100,0
59,0,20,100,0
59,1,20,100,0
59,2,20,100,0
60,0,20,0,0
60,1,20,0,0
60,2,20,0,0
61,0,20,0,0
61,1,20,0,0
61,2,20,0,0
62,0,20,0,0
62,1,20,0,0
62,2,20,0,0
63,0,20,0,0
63,1,20,10,0
63,2,20,10,0
64,0,20,10,0
64,1,20,10,0
64,2,20,10,0
65,0,20,20,0
65,1,20,20,0
65,2,20,20,0
66,0,20,20,0
66,1,20,20,0
66,2,20,50,0
67,0,20,50,0
67,1,20,50,0
67,2,20,50,0
68,0,20,50,0
68,1,20,100,0
68,2,20,100,0
69,0,20,100,0
69,1,20,100,0
69,2,20,100,0
70,0,20,0,0
70,1,20,0,0
70,2,20,0,0
71,0,20,0,0
71,1,20,0,0
71,2,20,0,0
72,0,20,0,0
72,1,20,0,0
72,2,20,0,0
73,0,20,0,0
73,1,20,10,0
73,2,20,10,0
74,0,20,10,0
74,1,20,10,0
74,2,20,10,0
75,0,20,20,0
75,1,20,20,0
75,2,20,20,0
76,0,20,20,0
76,1,20,20,0
76,2,20,50,0
77,0,20,50,0
77,1,20,50,0
77,2,20,50,0
78,0,20,50,0
78,1,20,100,0
78,2,20,100,0
79,0,20,100,0
79,1,20,100,0
79,2,20,100,0
