stage_position,position_within_field_of_view,sine_amplitude,sine_period,problem
0,0,10,100,0
0,1,10,100,0
0,2,10,100,0
0,3,10,100,0
1,0,10,100,0
1,1,10,50,0
1,2,10,50,0
1,3,10,50,0
2,0,10,50,0
2,1,10,50,0
2,2,10,20,0
2,3,10,20,0
3,0,10,20,0
3,1,10,20,0
3,2,10,20,0
3,3,10,10,0
4,0,10,10,0
4,1,10,10,0
4,2,10,10,0
4,3,10,10,0
5,0,10,0,0
5,1,10,0,0
5,2,10,0,0
5,3,10,0,0
6,0,10,0,0
6,1,10,0,0
6,2,10,0,0
6,3,10,0,0
7,0,10,0,0
7,1,10,0,0
7,2,10,100,0
7,3,10,100,0
8,0,10,100,0
8,1,10,100,0
8,2,10,100,0
8,3,10,50,0
9,0,10,50,0
9,1,10,50,0
9,2,10,50,0
9,3,10,50,0
10,0,10,20,0
10,1,10,20,0
10,2,10,20,0
10,3,10,20,0
11,0,10,20,0
11,1,10,10,0
11,2,10,10,0
11,3,10,10,0
12,0,10,10,0
12,1,10,10,0
12,2,10,0,0
12,3,10,0,0
13,0,10,0,0
13,1,10,0,0
13,2,10,0,0
13,3,10,0,0
14,0,10,0,0
14,1,10,0,0
14,2,10,0,0
14,3,10,0,0
15,0,10,100,0
15,1,10,100,0
15,2,10,100,0
15,3,10,100,0
16,0,10,100,0
16,1,10,50,0
16,2,10,50,0
16,3,10,50,0
17,0,10,50,0
17,1,10,50,0
17,2,10,20,0
17,3,10,20,0
18,0,10,20,0
18,1,10,20,0
18,2,10,20,0
18,3,10,10,0
19,0,10,10,0
19,1,10,10,0
19,2,10,10,0
19,3,10,10,0
20,0,10,0,0
20,1,10,0,0
20,2,10,0,0
20,3,10,0,0
21,0,10,0,0
21,1,10,0,0
21,2,10,0,0
21,3,10,0,0
22,0,10,0,0
22,1,10,0,0
22,2,10,100,0
22,3,10,100,0
23,0,10,100,0
23,1,10,100,0
23,2,10,100,0
23,3,10,50,0
24,0,10,50,0
24,1,10,50,0
24,2,10,50,0
24,3,10,50,0
25,0,10,20,0
25,1,10,20,0
25,2,10,20,0
25,3,10,20,0
26,0,10,20,0
26,1,10,10,0
26,2,10,10,0
26,3,10,10,0
27,0,10,10,0
27,1,10,10,0
27,2,10,0,0
27,3,10,0,0
28,0,10,0,0
28,1,10,0,1
28,2,10,0,0
28,3,10,0,0
29,0,10,0,0
29,1,10,0,0
29,2,10,0,0
29,3,10,0,0
30,0,20,0,0
30,1,20,0,0
30,2,20,0,0
30,3,20,0,0
31,0,20,0,0
31,1,20,0,0
31,2,20,0,0
31,3,20,0,0
32,0,20,10,0
32,1,20,10,0
32,2,20,0,0
32,3,20,0,0
33,0,20,20,0
33,1,20,10,0
33,2,20,10,1
33,3,20,10,0
34,0,20,20,0
34,1,20,20,0
34,2,20,20,0
34,3,20,20,0
35,0,20,50,0
35,1,20,50,0
35,2,20,50,0
35,3,20,50,0
36,0,20,100,0
36,1,20,100,0
36,2,20,100,0
36,3,20,50,0
37,0,20,0,0
37,1,20,0,0
37,2,20,100,0
37,3,20,100,0
38,0,20,0,0
38,1,20,0,0
38,2,20,0,0
38,3,20,0,0
39,0,20,0,0
39,1,20,0,0
39,2,20,0,0
39,3,20,0,0
40,0,20,10,0
40,1,20,10,0
40,2,20,10,0
40,3,20,10,0
41,0,20,20,0
41,1,20,20,0
41,2,20,20,0
41,3,20,10,0
42,0,20,50,0
42,1,20,50,0
42,2,20,20,0
42,3,20,20,0
43,0,20,100,0
43,1,20,50,0
43,2,20,50,0
43,3,20,50,0
44,0,20,100,0
44,1,20,100,0
44,2,20,100,0
44,3,20,100,0
45,0,20,0,0
45,1,20,0,0
45,2,20,0,0
45,3,20,0,0
46,0,20,0,0
46,1,20,0,0
46,2,20,0,0
46,3,20,0,0
47,0,20,10,0
47,1,20,10,0
47,2,20,0,0
47,3,20,0,0
48,0,20,20,0
48,1,20,10,0
48,2,20,10,0
48,3,20,10,0
49,0,20,20,0
49,1,20,20,0
49,2,20,20,0
49,3,20,20,0
50,0,20,50,0
50,1,20,50,0
50,2,20,50,0
50,3,20,50,0
51,0,20,100,0
51,1,20,100,0
51,2,20,100,0
51,3,20,50,0
52,0,20,0,0
52,1,20,0,0
52,2,20,100,0
52,3,20,100,0
53,0,20,0,0
53,1,20,0,0
53,2,20,0,0
53,3,20,0,0
54,0,20,0,0
54,1,20,0,0
54,2,20,0,0
54,3,20,0,0
55,0,20,10,0
55,1,20,10,0
55,2,20,10,0
55,3,20,10,0
56,0,20,20,0
56,1,20,20,0
56,2,20,20,0
56,3,20,10,0
57,0,20,50,0
57,1,20,50,0
57,2,20,20,0
57,3,20,20,0
58,0,20,100,0
58,1,20,50,0
58,2,20,50,0
58,3,20,50,0
59,0,20,100,0
59,1,20,100,0
59,2,20,100,0
59,3,20,100,0
