0.000000 0 1728 1728
0.000000 1 193 193
1.000031 0 1729 1729
1.000031 1 193 193
2.000061 0 2626 2626
2.000061 1 286 286
3.000092 0 3417 3417
3.000092 1 386 386
4.000122 0 3553 3553
4.000122 1 391 391
5.000153 0 4266 4266
5.000153 1 486 486
6.000183 0 4494 4494
6.000183 1 459 459
7.000214 0 4082 4082
7.000214 1 408 408
8.000244 0 4380 4380
8.000244 1 439 439
9.000275 0 4444 4444
9.000275 1 459 459
10.000305 0 4197 4197
10.000305 1 420 420
11.000336 0 4434 4434
11.000336 1 414 414
12.000366 0 4441 4441
12.000366 1 413 413
13.000397 0 4332 4332
13.000397 1 384 384
14.000427 0 4438 4438
14.000427 1 361 361
15.000458 0 4546 4546
15.000458 1 292 292
16.000488 0 4522 4522
16.000488 1 237 237
17.000519 0 4568 4568
17.000519 1 222 222
18.000549 0 4606 4606
18.000549 1 218 218
19.000580 0 4549 4549
19.000580 1 219 219
20.000610 0 4246 4246
20.000610 1 222 222
21.000641 0 4160 4160
21.000641 1 255 255
22.000671 0 4106 4106
22.000671 1 285 285
23.000702 0 4074 4074
23.000702 1 322 322
24.000732 0 4023 4023
24.000732 1 375 375
25.000763 0 3957 3957
25.000763 1 427 427
26.000793 0 3949 3949
26.000793 1 476 476
27.000824 0 3896 3896
27.000824 1 495 495
28.000854 0 3834 3834
28.000854 1 561 561
29.000885 0 3786 3786
29.000885 1 631 631
30.000916 0 3715 3715
30.000916 1 665 665
31.000946 0 3666 3666
31.000946 1 712 712
32.000977 0 3626 3626
32.000977 1 734 734
33.001007 0 3608 3608
33.001007 1 758 758
34.001038 0 3620 3620
34.001038 1 757 757
35.001068 0 3641 3641
35.001068 1 742 742
36.001099 0 3669 3669
36.001099 1 725 725
37.001129 0 3726 3726
37.001129 1 645 645
38.001160 0 3775 3775
38.001160 1 606 606
39.001190 0 3835 3835
39.001190 1 558 558
40.001221 0 3868 3868
40.001221 1 515 515
41.001251 0 3958 3958
41.001251 1 467 467
42.001282 0 4023 4023
42.001282 1 384 384
43.001312 0 4061 4061
43.001312 1 327 327
44.001343 0 4069 4069
44.001343 1 303 303
45.001373 0 4051 4051
45.001373 1 285 285
46.001404 0 4067 4067
46.001404 1 281 281
47.001434 0 4083 4083
47.001434 1 271 271
48.001465 0 4082 4082
48.001465 1 254 254
49.001495 0 4110 4110
49.001495 1 258 258
50.001526 0 4147 4147
50.001526 1 234 234
51.001556 0 4153 4153
51.001556 1 210 210
52.001587 0 4170 4170
52.001587 1 182 182
53.001617 0 4204 4204
53.001617 1 159 159
54.001648 0 4233 4233
54.001648 1 138 138
55.001678 0 4262 4262
55.001678 1 91 91
56.001709 0 4269 4269
56.001709 1 70 70
57.001740 0 4297 4297
57.001740 1 43 43
58.001770 0 4311 4311
58.001770 1 26 26
59.001801 0 4336 4336
59.001801 1 11 11
60.001831 0 4321 4321
61.001862 0 4313 4313
62.001892 0 4324 4324
63.001923 0 4307 4307
64.001953 0 4303 4303
65.001984 0 4304 4304
66.002014 0 4702 4702
67.002045 0 4782 4782
68.002075 0 4797 4797
69.002106 0 4817 4817
70.002136 0 4795 4795
71.002167 0 4801 4801
72.002197 0 4795 4795
73.002228 0 4813 4813
74.002258 0 4799 4799
75.002289 0 4813 4813
76.002319 0 4799 4799
77.002350 0 4776 4776
78.002380 0 4845 4845
79.002411 0 4788 4788
80.002441 0 4784 4784
81.002472 0 4801 4801
82.002502 0 4783 4783
83.002533 0 4760 4760
84.002563 0 4790 4790
85.002594 0 4787 4787
86.002625 0 4773 4773
87.002655 0 4788 4788
88.002686 0 4801 4801
89.002716 0 4782 4782
90.002747 0 4800 4800
91.002777 0 4779 4779
92.002808 0 4784 4784
93.002838 0 4798 4798
94.002869 0 4790 4790
95.002899 0 4789 4789
96.002930 0 4775 4775
97.002960 0 4808 4808
98.002991 0 4779 4779
99.003021 0 4801 4801
100.003052 0 4817 4817
101.003082 0 4790 4790
102.003113 0 4784 4784
103.003143 0 4807 4807
104.003174 0 4786 4786
105.003204 0 4832 4832
106.003235 0 4809 4809
107.003265 0 4782 4782
108.003296 0 4774 4774
109.003326 0 4814 4814
