pi,ti,ci,zi,ni,div,div2,pos_min,min_ac,1st_min
0,0,1,0,0,0.18251168642010054,0.15990623576780252,0.9333333333333333,0.9148278796706197,0.32083333333333336
0,0,1,0,1,0.10056770576792701,0.04711013694791062,0.9913793103448276,0.9501496286064155,0.16379310344827586
0,0,1,0,2,0.19203968286712206,0.23589665863183149,0.9915254237288136,0.9047938860362149,0.4957627118644068
0,0,1,0,3,0.16412787609664503,0.15991365838836188,0.9915966386554622,0.9186256748764533,0.29411764705882354
0,0,1,1,0,0.15454440202380024,0.14692999524596206,0.9916666666666667,0.9233717339965324,0.35
0,0,1,1,1,0.08165094675041505,0.044486661571291206,0.9913793103448276,0.9595264703607856,0.16379310344827586
0,0,1,1,2,0.19364860931559902,0.23932619911455577,0.9915254237288136,0.9039962402969276,0.4957627118644068
0,0,1,1,3,0.15392535351884348,0.15681230116591552,0.9915966386554622,0.9236840684234305,0.4957983193277311
0,0,1,2,0,0.13789699006459996,0.13321208406781074,0.9916666666666667,0.9316260757596359,0.35833333333333334
0,0,1,2,1,0.06454267167497614,0.039831927056781534,0.9913793103448276,0.9680068653335248,0.1724137931034483
0,0,1,2,2,0.19621961904965393,0.2431744355816791,0.9915254237288136,0.9027216295389427,0.4957627118644068
0,0,1,2,3,0.14748660040110975,0.1561392308314581,0.9915966386554622,0.9268763913977691,0.4957983193277311
0,1,1,0,0,0.17617225729262218,0.13247784982992228,0.925,0.9185203310021622,0.23333333333333334
0,1,1,0,1,0.08597987638042531,0.060908354251939856,0.9913793103448276,0.9573806647252202,0.16810344827586207
0,1,1,0,2,0.18847151905006343,0.22910711688277915,0.9915254237288136,0.9065628486065364,0.4957627118644068
0,1,1,0,3,0.03497190432503174,0.02747064870515117,0.9915966386554622,0.982660988611959,0.21428571428571427
0,1,1,1,0,0.15524662590734822,0.12469933128053773,0.9583333333333334,0.925610991752729,0.29583333333333334
0,1,1,1,1,0.07530278445403851,0.05893772849215146,0.9913793103448276,0.962673188740455,0.29310344827586204
0,1,1,1,2,0.1869295903885192,0.22876400036775854,0.9915254237288136,0.907327279341285,0.4957627118644068
0,1,1,1,3,0.033249200184723604,0.027454001256138606,0.9915966386554622,0.9835151024294227,0.23529411764705882
0,1,1,2,0,0.1302652923232812,0.11070920409829114,0.9916666666666667,0.9354101258897064,0.2708333333333333
0,1,1,2,1,0.06337399796763842,0.05448037354302694,0.9913793103448276,0.9685861648005241,0.2413793103448276
0,1,1,2,2,0.18750011767512567,0.23067857285759466,0.9915254237288136,0.9070444331864843,0.4957627118644068
0,1,1,2,3,0.0317086114077042,0.028059019054757873,0.9915966386554622,0.9842789237558441,0.4957983193277311
0,2,1,0,0,0.1531158287391746,0.13445260649477098,0.925,0.9291839292081318,0.3416666666666667
0,2,1,0,1,0.09325289141419793,0.03542235425513622,0.9913793103448276,0.9537755064110657,0.15086206896551724
0,2,1,0,2,0.18293476539004797,0.22133965676599665,0.9830508474576272,0.9100829119269256,0.4915254237288136
0,2,1,0,3,0.10499293400162213,0.05004081515321124,0.8907563025210085,0.9532384411589414,0.16806722689075632
0,2,1,1,0,0.13699735193840384,0.12777491986014478,0.9583333333333334,0.9343554355295148,0.3458333333333333
0,2,1,1,1,0.08409127309440771,0.035726020649933576,0.9913793103448276,0.9583168258368238,0.15086206896551724
0,2,1,1,2,0.18131038214881998,0.22261724581291062,0.9915254237288136,0.9101130732567291,0.4957627118644068
0,2,1,1,3,0.0954269970854004,0.04847259075869531,0.8991596638655462,0.9570979466884965,0.16806722689075632
0,2,1,2,0,0.11293926002071067,0.1111217716517661,0.9916666666666667,0.944000950239731,0.3416666666666667
0,2,1,2,1,0.06877359683799134,0.03687974960426139,0.9913793103448276,0.9659096394984095,0.16810344827586207
0,2,1,2,2,0.18258496656927756,0.22517582004415362,0.9915254237288136,0.9094811818279429,0.4957627118644068
0,2,1,2,3,0.07028297707754262,0.0450732927394545,0.9915966386554622,0.9651538180876049,0.16806722689075632
0,3,1,0,0,0.13394584395699322,0.13024184245956236,0.9416666666666667,0.9369338318035824,0.4708333333333333
0,3,1,0,1,0.12120962396272834,0.05908929616311138,0.9913793103448276,0.9399176432943372,0.15086206896551724
0,3,1,0,2,0.17675920930428413,0.21319937329842567,0.9830508474576272,0.9131183547487417,0.4915254237288136
0,3,1,0,3,0.13221375842228278,0.06330855402346054,0.8487394957983193,0.9438924806695355,0.14285714285714285
0,3,1,1,0,0.11475737680212235,0.12129804695358705,0.9916666666666667,0.9430994673356143,0.49583333333333335
0,3,1,1,1,0.11026560204406724,0.056145761732232,0.9913793103448276,0.9453424817453977,0.16379310344827586
0,3,1,1,2,0.1746152487185028,0.21468502469538864,0.9915254237288136,0.9134322707624372,0.4957627118644068
0,3,1,1,3,0.1216188832320074,0.06157797636173764,0.8571428571428571,0.9478776214719968,0.14285714285714285
0,3,1,2,0,0.09991299835475588,0.10771970316940595,0.9916666666666667,0.9504598049824335,0.49583333333333335
0,3,1,2,1,0.09181433145749712,0.05105498013063835,0.9913793103448276,0.9544885856999475,0.16810344827586207
0,3,1,2,2,0.1764638022372138,0.2181746809020499,0.9915254237288136,0.9125158268569745,0.4957627118644068
0,3,1,2,3,0.09604145148986118,0.06084138461462184,0.9243697478991597,0.9556110938492238,0.14705882352941177
0,4,1,0,0,0.12391039265560008,0.13007564658262236,0.9916666666666667,0.9385610969749316,0.49583333333333335
0,4,1,0,1,0.11393812325643649,0.05664196512440635,0.9827586206896551,0.9440131635722683,0.15948275862068967
0,4,1,0,2,0.17938561700958092,0.21850175418143764,0.9915254237288136,0.9110673000418603,0.4957627118644068
0,4,1,0,3,0.42471845259547353,0.03756602976947624,0.25210084033613445,0.9464640605972092,0.12605042016806722
0,4,1,1,0,0.10899715075261365,0.11915506680980296,0.9916666666666667,0.9459555794184957,0.49583333333333335
0,4,1,1,1,0.10092533555455813,0.052839790181178334,0.9913793103448276,0.9499723552208009,0.16379310344827586
0,4,1,1,2,0.17762708317230635,0.21929209672932426,0.9915254237288136,0.9119391155459329,0.4957627118644068
0,4,1,1,3,0.3743433924532671,0.036850004100384956,0.25210084033613445,0.952813858094126,0.12605042016806722
0,4,1,2,0,0.09711490626930785,0.10786105571348908,0.9916666666666667,0.9518471923081349,0.49583333333333335
0,4,1,2,1,0.08653209026209972,0.048366407915863115,0.9913793103448276,0.9571069380166316,0.16810344827586207
0,4,1,2,2,0.1769781731846855,0.21944127045283265,0.9915254237288136,0.9122608209211517,0.4957627118644068
0,4,1,2,3,0.28078451139751853,0.03579868181487124,0.2605042016806723,0.9634272275070459,0.13025210084033614
0,5,1,0,0,0.1426639094800573,0.14374464206779386,0.9416666666666667,0.9328290759531397,0.4708333333333333
0,5,1,0,1,0.0829989765661992,0.03344897751337011,0.9913793103448276,0.9588582659262375,0.1724137931034483
0,5,1,0,2,0.18270427221239663,0.22273277775226133,0.9915254237288136,0.9094220345387695,0.4957627118644068
0,5,1,0,3,0.27743044356588636,0.012337390257839833,0.24369747899159663,0.9661954501537365,0.12184873949579832
0,5,1,1,0,0.12299004441856923,0.13308835280388084,0.9833333333333333,0.9395298948275368,0.48333333333333334
0,5,1,1,1,0.07585720761823145,0.03279429167780475,0.9913793103448276,0.9623983669133767,0.16810344827586207
0,5,1,1,2,0.1815617899995798,0.22451487771759082,0.9915254237288136,0.9099884346188524,0.4957627118644068
0,5,1,1,3,0.2410529951877323,0.012877021282492978,0.25210084033613445,0.9696151686738153,0.12605042016806722
0,5,1,2,0,0.11125858922879481,0.12360395521887584,0.9916666666666667,0.9448342828407226,0.49583333333333335
0,5,1,2,1,0.0666937004534476,0.031392007543813424,0.9913793103448276,0.9669406226200583,0.16810344827586207
0,5,1,2,2,0.18186024773083467,0.2263229522702607,0.9915254237288136,0.9098404704046286,0.4957627118644068
0,5,1,2,3,0.19747849160526754,0.012921398064676591,0.25210084033613445,0.9751077531589999,0.12605042016806722
0,6,1,0,0,0.1477025941873814,0.1564979587962104,0.9916666666666667,0.92676413038209,0.49583333333333335
0,6,1,0,1,0.20103384072920227,0.02160244659471826,0.3448275862068966,0.9653389929777237,0.1724137931034483
0,6,1,0,2,0.18175911168843684,0.22337257553465664,0.9915254237288136,0.909890609883275,0.4957627118644068
0,6,1,0,3,0.22046518671915322,0.012913429542840778,0.24369747899159663,0.9731365948955654,0.12184873949579832
0,6,1,1,0,0.13356106000829893,0.1452219768383241,0.9916666666666667,0.9337759744125518,0.49583333333333335
0,6,1,1,1,0.18496669323365839,0.021793094156868618,0.3448275862068966,0.968109190821783,0.1724137931034483
0,6,1,1,2,0.18229122699815495,0.2254149090686106,0.9915254237288136,0.9096268069543045,0.4957627118644068
0,6,1,1,3,0.20970998115941594,0.012412653817067684,0.24369747899159663,0.9744471031360376,0.12184873949579832
0,6,1,2,0,0.11377920343675732,0.12677670355352846,0.9916666666666667,0.9435844782959412,0.49583333333333335
0,6,1,2,1,0.1548909778629699,0.02041930727660637,0.35344827586206895,0.9726270254638717,0.17672413793103448
0,6,1,2,2,0.18149619115360138,0.22592221275028865,0.9915254237288136,0.9100209560806298,0.4957627118644068
0,6,1,2,3,0.16996485645202083,0.0121004806564559,0.24369747899159663,0.979289996482737,0.12184873949579832
0,7,1,0,0,0.14553112596803439,0.153792217844331,0.9916666666666667,0.9278408167075163,0.49583333333333335
0,7,1,0,1,0.21541068662209253,0.01972200075729652,0.35344827586206895,0.9619317321055785,0.17672413793103448
0,7,1,0,2,0.17503611387800974,0.21639464112934137,0.9915254237288136,0.9132236215096308,0.4830508474576271
0,7,1,0,3,0.22984742115784543,0.014576477791083016,0.226890756302521,0.9739248723896562,0.1134453781512605
0,7,1,1,0,0.13654664006857994,0.14782359155389765,0.9916666666666667,0.9322956242993291,0.49583333333333335
0,7,1,1,1,0.20910360491487534,0.019476488240345098,0.3448275862068966,0.9639476543250215,0.1724137931034483
0,7,1,1,2,0.17654224006628935,0.21924635364312933,0.9915254237288136,0.9124769403061193,0.4957627118644068
0,7,1,1,3,0.2243469050985397,0.014661244647884954,0.226890756302521,0.9745488805140312,0.1134453781512605
0,7,1,2,0,0.11748729781007547,0.12988359510622535,0.9833333333333333,0.9422354119100462,0.49166666666666664
0,7,1,2,1,0.16683777608574157,0.01772794331061016,0.3620689655172414,0.9697966095017192,0.1810344827586207
0,7,1,2,2,0.17821234203135553,0.22162046371601393,0.9915254237288136,0.911648966026828,0.4957627118644068
0,7,1,2,3,0.179186481033657,0.014550489642790272,0.226890756302521,0.9796721218995431,0.1134453781512605
0,8,1,0,0,0.14507359650607404,0.15202986400875554,0.9916666666666667,0.9280676750657383,0.49583333333333335
0,8,1,0,1,0.20627384990645656,0.01604940981682943,0.3793103448275862,0.9608790974315341,0.1896551724137931
0,8,1,0,2,0.16829696677982414,0.20606491624749387,0.9830508474576272,0.9172777620912729,0.4915254237288136
0,8,1,0,3,0.06748682355302668,0.019811186855116708,0.7983193277310925,0.9730619821952204,0.10504201680672269
0,8,1,1,0,0.13197354117929563,0.14297554288124492,0.9916666666666667,0.9345631191652659,0.49583333333333335
0,8,1,1,1,0.19893981039056707,0.015634654961559902,0.3706896551724138,0.9631275351431277,0.1853448275862069
0,8,1,1,2,0.16707848978678744,0.20749131701029216,0.9915254237288136,0.9171687148090927,0.4957627118644068
0,8,1,1,3,0.06425358626768965,0.020459612689004102,0.7983193277310925,0.9743525601032331,0.1092436974789916
0,8,1,2,0,0.11053007944284272,0.12355489806270104,0.9916666666666667,0.9451955022762571,0.49583333333333335
0,8,1,2,1,0.1644766626660921,0.014131387193236618,0.3706896551724138,0.9695151013161984,0.1853448275862069
0,8,1,2,2,0.1709436033999245,0.21262577266801763,0.9915254237288136,0.9152525356025798,0.4957627118644068
0,8,1,2,3,0.05523087041687967,0.02006693993031876,0.773109243697479,0.9786502517716263,0.1092436974789916
0,9,1,0,0,0.13605072846386454,0.13902373166633136,0.9916666666666667,0.9325415138033338,0.425
0,9,1,0,1,0.19524107672813773,0.012686169691952517,0.3879310344827586,0.9621299635656629,0.1939655172413793
