25.9
       1.182,        1.212,        1.14 ,        0.698,        0.277,        0.288,        1.271,        1.258,        1.125,        0.635,        0.31 ,        0.308
       1.257,        1.232,        1.113,        0.72 ,        0.256,        0.253,        1.34 ,        1.296,        1.112,        0.637,        0.248,        0.263
       1.238,        1.291,        1.115,        0.75 ,        0.255,        0.254,        1.354,        1.343,        1.106,        0.62 ,        0.258,        0.277
       1.29 ,        1.237,        1.099,        0.738,        0.256,        0.255,        1.338,        1.258,        1.108,        0.628,        0.255,        0.264
       1.097,        1.086,        0.942,        0.471,        0.246,        0.224,        1.154,        1.068,        0.898,        0.39 ,        0.259,        0.275
       1.118,        1.115,        0.954,        0.517,        0.282,        0.284,        1.156,        1.077,        0.909,        0.385,        0.287,        0.286
       1.131,        1.105,        0.957,        0.381,        0.27 ,        0.253,        1.137,        1.048,        0.915,        0.365,        0.251,        0.289
       1.136,        1.133,        0.969,        0.41 ,        0.277,        0.279,        1.165,        1.077,        0.923,        0.336,        0.276,        0.306

