 ,X,Y
1,57.574,344.612
2,156.661,341.066
3,159.164,431.182
4,64.041,432.851
5,256.790,338.562
6,357.754,335.225
7,357.754,432.016
8,260.962,434.520
9,454.545,331.053
10,554.675,330.218
11,554.675,428.679
12,457.883,427.844
13,653.970,328.549
14,751.596,326.881
15,751.596,422.003
16,656.473,422.003
