 ,X,Y
1,43.389,80.103
2,143.310,80.729
3,144.979,144.979
4,45.684,143.310
5,244.274,74.888
6,341.066,73.220
7,346.072,139.138
8,245.943,142.476
9,444.533,72.385
10,541.324,71.551
11,547.165,134.132
12,446.201,139.138
13,645.626,64.875
14,741.583,65.710
15,744.086,130.794
16,647.294,133.297
