 ,X,Y
1,85.944,181.902
2,176.687,183.362
3,180.024,262.631
4,84.067,267.637
5,284.326,180.859
6,374.442,180.859
7,376.945,262.631
8,279.319,265.969
9,478.743,178.355
10,573.866,175.018
11,576.369,258.459
12,477.075,261.796
13,674.830,175.852
14,772.456,173.349
15,773.291,254.287
16,674.830,259.293
